FREQ,Frequency,BORROWERS_CTY,Borrowers' country,DSR_BORROWERS,Borrowers,COLLECTION,Collection Indicator,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,DECIMALS,Decimals,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_CONF,Observation confidentiality,OBS_PRE_BREAK,OBS_STATUS,Observation Status
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2022-Q1,12.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2022-Q2,12.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2022-Q3,12.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2022-Q4,12.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2023-Q1,11.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2023-Q2,12.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2023-Q3,12.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2023-Q4,12.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2024-Q1,12.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2024-Q2,12.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2024-Q3,12.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2024-Q4,12.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2025-Q1,12.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2025-Q2,12.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2025-Q3,12.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2025-Q4,11.8,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2016-Q1,14.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2016-Q2,14.4,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2016-Q3,14.1,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2016-Q4,13.9,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2017-Q1,13.7,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2017-Q2,13.7,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2017-Q3,13.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2017-Q4,13.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2018-Q1,13.4,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2018-Q2,13.4,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2018-Q3,13.4,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2018-Q4,13.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2019-Q1,13.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2019-Q2,13.6,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2019-Q3,13.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2019-Q4,13.6,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2020-Q1,13.8,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2020-Q2,14.3,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2020-Q3,14.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2020-Q4,14.9,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2021-Q1,15.0,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2021-Q2,14.7,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2021-Q3,14.9,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2021-Q4,14.8,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2022-Q1,14.7,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2022-Q2,14.6,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2022-Q3,14.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2022-Q4,14.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2023-Q1,14.5,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2023-Q2,14.8,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2023-Q3,15.0,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2023-Q4,15.2,F,Free,,A,Normal value
Q,Quarterly,TH,Thailand,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Thailand - Private non-financial sector,2024-Q1,15.4,F,Free,,A,Normal value
