FREQ,Frequency,BORROWERS_CTY,Borrowers' country,DSR_BORROWERS,Borrowers,COLLECTION,Collection Indicator,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,DECIMALS,Decimals,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_CONF,Observation confidentiality,OBS_PRE_BREAK,OBS_STATUS,Observation Status
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2005-Q3,16.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2005-Q4,16.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2006-Q1,16.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2006-Q2,16.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2006-Q3,16.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2006-Q4,17.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2007-Q1,17.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2007-Q2,17.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2007-Q3,18.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2007-Q4,17.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2008-Q1,17.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2008-Q2,18.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2008-Q3,18.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2008-Q4,18.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2009-Q1,19.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2009-Q2,19.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2009-Q3,19.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2009-Q4,19.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2010-Q1,19.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2010-Q2,18.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2010-Q3,18.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2010-Q4,18.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2011-Q1,18.2,F,Free,,A,Normal value
